Wardname,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
Richmond upon Thames - Twickenham Riverside,17.13158907,12.4,10.3,26.8,7.2
Redbridge - Monkhams,16.97370946,20.7,21.1,18.8,3.8
Barnet - Hendon,20.08445214,11.9,36.3,48.2,20.3
Ealing - Northolt West End,25.55386549,9.8,55.1,41.5,18.6
Redbridge - Church End,18.23549844,11.9,26.5,22.1,5.8
Brent - Dollis Hill,25.06517691,11.3,64.3,54.5,22
Hammersmith & Fulham - Fulham Broadway,13.50491088,10.3,29.9,43.9,15.6
Harrow - Headstone South,20.36820835,12,56.5,44.2,15.9
Merton - Hillside,13.82421744,13.7,21.7,41.6,11.3
Redbridge - Newbury,25.44749403,9.1,77.2,47.5,17.6
Lambeth - Streatham South,20.66824777,10.9,52.5,44.5,15.8
Bexley - Danson Park,18.50147275,17.5,16.2,13.2,3.1
Croydon - Thornton Heath,25.02569684,9.1,67.1,37.6,9.4
Merton - Saint Helier,21.59592856,13.3,35,33,11.7
Sutton - Carshalton South & Clockhouse,20.92640247,15.3,16.7,13.9,2.4
Bexley - Northumberland Heath,20.61709757,15.1,14.5,9.8,1.9
Croydon - New Addington,25.80316637,12.7,23.7,13.9,3
Bromley - Crystal Palace,19.21664627,7.8,38.1,30.3,8.3
Westminster - Lancaster Gate,11.59530125,8.4,33.7,64.6,32.2
Southwark - South Bermondsey,20.52975327,7.2,44.8,41.1,14.6
Barnet - Golders Green,27.1867361,12,34.2,45.8,17.5
Newham - Wall End,25.23912165,6.5,82.2,59.8,29.7
Wandsworth - Saint Mary's Park,13.91640493,10.4,28.2,38.9,11.3
Tower Hamlets - Bow East,17.46160612,7.4,39.9,30.9,10.9
Redbridge - Loxford,29.02562863,7.5,83.5,53.2,23.7
Enfield - Town,20.17308466,14.9,18,17.1,4.4
Newham - Custom House,24.05488032,6.6,53.5,46.9,19.6
Hillingdon - West Drayton,22.75574113,11.5,33.5,27.6,9.2
Bexley - Barnehurst,18.9671722,18.2,9.8,8,1.3
Lewisham - Crofton Park,19.53538194,9.1,39.6,30.1,7
Richmond upon Thames - Fulwell & Hampton Hill,21.13315566,12.5,9.9,16.7,4
Barnet - Edgware,23.32018173,13.8,39.2,37.4,12.1
Hackney - Leabridge,21.09124582,7,52.7,40.7,17.3
Brent - Brondesbury Park,16.79336558,12.1,43.8,47.2,16.2
Hounslow - Hanworth,24.20403126,11,32.4,28.9,11.3
Wandsworth - Furzedown,22.04592363,9.8,43.1,36.7,12.9
Westminster - Church Street,23.16326531,11.4,61.7,52.7,27.2
Bexley - Saint Mary's,18.13935754,21,8.4,8.1,1.1
Barnet - Woodhouse,18.74822191,13.6,37.6,41,16.2
Bromley - Penge & Cator,20.80110816,9.7,34.6,25.8,6.4
Brent - Alperton,19.00549333,9.5,81.8,66.8,32.3
Newham - West Ham,21.59989711,7,65.5,51.2,22.1
Barnet - East Barnet,20.72256305,13.7,23.4,23.4,7.2
Barking & Dagenham - Eastbury,26.9184446,9.5,41.7,32.2,11.9
Wandsworth - Balham,15.68707206,7.8,19.4,28.5,6.5
Southwark - Livesey,23.56854696,9.1,62.2,44.3,11.9
Bexley - North End,26.80269756,10.6,27,18.8,3.3
Sutton - Cheam,19.82498785,19.7,21.2,18.6,3.3
Lambeth - Vassall,18.01597964,7.2,52.7,40,12.1
Tower Hamlets - Mile End & Globe Town,18.89400922,6.6,52.6,40.6,16.4
Greenwich - Woolwich Riverside,23.62970711,6.2,49,39.4,13.3
Harrow - Wealdstone,23.42460944,11,62.6,46.9,18.3
Wandsworth - Fairfield,12.67364675,6.7,22.1,32.5,7.1
Haringey - Muswell Hill,17.87833828,12.1,16.2,26.1,7
Barnet - High Barnet,18.45560855,16.5,18.3,22.1,6.3
Haringey - Highgate,15.3627923,11.7,18.9,31.5,8.2
